origin,destination,volume,,Origin(total),Volume(total),,x,y
06007,06085,746,,,,,,
06007,06087,184,,,,,,
06007,06089,"1,550",,,,,,
06007,06093,217,,,,,,
06007,06095,501,,,,,,
06007,06097,379,,,,,,
06007,06099,286,,,,,,
06007,06101,"1,097",,,,,,
06007,06103,742,,,,,,
06007,06105,16,,,,,,
06007,06107,77,,,,,,
06007,06109,36,,,,,,
06007,06111,341,,,,,,
06007,06113,273,,,,,,
06007,06115,836,,,,,,
06007,08005,75,,,,,,
06007,08013,9,,,,,,
06007,08035,19,,,,,,
06007,08041,22,,,,,,
06007,08059,39,,,,,,
06007,08085,104,,,,,,
06007,08099,7,,,,,,
06007,08101,22,,,,,,
06007,09001,16,,,,,,
06007,10003,17,,,,,,
06007,11001,61,,,,,,
06007,12031,6,,,,,,
06007,12033,10,,,,,,
06007,12061,37,,,,,,
06007,12069,1,,,,,,
06007,12091,14,,,,,,
06007,12095,11,,,,,,
06007,12101,14,,,,,,
06007,12107,49,,,,,,
06007,13053,38,,,,,,
06007,13063,2,,,,,,
06007,13077,18,,,,,,
06007,13089,20,,,,,,
06007,13121,8,,,,,,
06007,13139,26,,,,,,
06007,13143,15,,,,,,
06007,13147,7,,,,,,
06007,13215,3,,,,,,
06007,13293,10,,,,,,
06007,15003,19,,,,,,
06007,15009,22,,,,,,
06007,16001,86,,,,,,
06007,16005,4,,,,,,
06007,16017,23,,,,,,
06007,16019,35,,,,,,
06007,16027,19,,,,,,
06007,16029,1,,,,,,
06007,16033,5,,,,,,
06007,16035,4,,,,,,
06007,16053,2,,,,,,
06007,16055,1,,,,,,
06007,16059,3,,,,,,
06007,16067,16,,,,,,
06007,16075,14,,,,,,
06007,16079,14,,,,,,
06007,16083,29,,,,,,
06007,17031,46,,,,,,
06007,17097,16,,,,,,
06007,18117,9,,,,,,
06007,20091,49,,,,,,
06007,20177,52,,,,,,
06007,21093,21,,,,,,
06007,21151,15,,,,,,
06007,21163,9,,,,,,
06007,21211,21,,,,,,
06007,22033,17,,,,,,
06007,22105,25,,,,,,
06007,22115,2,,,,,,
06007,24045,8,,,,,,
06007,25021,51,,,,,,
06007,26015,11,,,,,,
06007,26017,39,,,,,,
06007,26059,3,,,,,,
06007,26067,6,,,,,,
06007,26073,11,,,,,,
06007,27053,12,,,,,,
06007,27081,8,,,,,,
06007,27093,13,,,,,,
06007,27097,2,,,,,,
06007,27105,5,,,,,,
06007,27137,42,,,,,,
06007,27145,6,,,,,,
06007,27155,12,,,,,,
06007,27163,8,,,,,,
06007,28007,26,,,,,,
06007,28047,10,,,,,,
06007,28081,21,,,,,,
06007,29117,7,,,,,,
06007,29195,66,,,,,,
06007,30031,11,,,,,,
06007,30077,1,,,,,,
06007,30087,18,,,,,,
06007,31055,4,,,,,,
06007,31153,7,,,,,,
06007,32001,44,,,,,,
06007,32003,33,,,,,,
06007,32005,51,,,,,,
06007,32013,4,,,,,,
06007,32019,143,,,,,,
06007,32031,204,,,,,,
06007,32510,7,,,,,,
06007,35001,19,,,,,,
06007,35043,17,,,,,,
06007,35047,22,,,,,,
06007,36005,13,,,,,,
06007,36009,4,,,,,,
06007,36027,50,,,,,,
06007,36047,12,,,,,,
06007,36061,20,,,,,,
06007,36067,8,,,,,,
06007,36091,41,,,,,,
06007,36101,8,,,,,,
06007,37051,5,,,,,,
06007,37071,5,,,,,,
06007,38093,2,,,,,,
06007,38105,8,,,,,,
06007,39005,9,,,,,,
06007,39049,51,,,,,,
06007,39057,59,,,,,,
06007,39095,2,,,,,,
